airline_sentiment,clean_tweet
neutral,since ua ord ewr delayed pushing meal time mean catered meals first
negative,help invest planes people less stock buybacks executive pay maybe would disappoint
negative,roc flight cancelled flightled love snowy drive home useful substitutes
neutral,correct correct sorry lost
negative,crazy long form need something video
negative,hope see issue return flight tomorrow
negative,flight cancelled flightled ridiculous
neutral,flying ua g
negative,page head best call hold mins
neutral,developers flying tmrw morn w min layover earlier flight hr layover move
positive,thanks reply get better seat next leg munich would nice
negative,appreciate getting put hold min getting hung requesting help big group try delta
neutral,home calgary get us without added expense accommodations meals
negative,thank reply frustration spending upgrade puts wait list
negative,staff could try throwing luggage around
negative,us stranded flying new orleans huston tonight stuck two days rather fly wait
negative,hello flying first class behind people zone pls pass app dept board st class first
positive,thank taking care mom reflight booking problems flight phl
negative,get anyone deal person cowardly customer service looked eyes anyone
negative,nope called lost seating preference paid still sit see happens w flight late flightr
negative,stuck dc trying get denver engine shut twice us terminal got available flights
positive,ill check appreciate response regardless
neutral,nope case id either time
negative,yes cancelled flightled moved figure car rental changes
negative,troubling news time raise bar legroom
positive,phenomenal frm gate sea gate iad
positive,thanks hopefully easily resolved
neutral,gold international baggage limit apply booked ticket even domestic leg travel friends
negative,terrible travel experience traveled miles roundtrip two cancelled flightlations short hops cost two days
negative,charging people see freaking flight map
negative,flight mco delayed amp scheduled arrive connection departs options
negative,company values customer amp reading tweets one feels way lostmybusiness
negative,insulted disrespected met incompetence every turn voucher domestic round trip
negative,day iad cvg iad cancelled flightled united airlines operating friend stuck miss intl flight help
neutral,already dm concern pls check
negative,well want customers frustrated compensate appropriately screw royally fakesincerity
neutral,aware fly lot sad change shoes boots ha happyflight
positive,thanks
negative,employees angriest angst iest group people anywhere except tasha check iah
negative,doubtful fly united traveling lot sales manager covering north america
positive,finally gave let threatened send back vegas coach thnx
negative,worst customer non service sure
negative,worst airline ever
neutral,flight number different flight heading mpls
neutral,flights taking iad afternoon
neutral,get bangkok days spend husband mid deployment leave like get asap
negative,let employees know good service kind attitude towards customers vital kind business thanks
neutral,husband
negative,need assistance line door travelling kids
negative,friend hare get flight bc say proof bought st class tkt boarding pass
positive,gave smile today zero award computers sense humour
negative,right tropic air san pedro belize line door due elected amp appointed hacks
neutral,take compliment mistaken several times member staff flight time remove scarf
negative,new mileage policy awful might paid slightly united miles difference
negative,anyone assure aircraft coming denver left previous destination flight
negative,yes refund ticket give email address let u know happened
negative,would like speak vp custexp jimmy samartzis sent survey email awful flight exp
negative,delayed san pedro belize scheduled fly pm belize city houston wait please
negative,hello united take care call center mexico city office terrible attitude lady helping
negative,great guessing late flight open service horrible overcharging care everyone miserable
neutral,glad k means something lol
negative,unbelievably disappointed delay delay stop messing life
negative,really great amp flattering story proud via
neutral,able get seat earlier flight sfo ind add pm ord ind
negative,snowy roads bwi called mileageplus amp told flight cancelled flighted hours ago rcvd notification pls help
negative,interviewed yesterday flight attendant last person recruiter said lost file n came back interview
negative,remember business pleasant experience means tell friend bad experience means tell everyone see
negative,let assure travel time h h timezones accuratetraveltimes rdtimethishashappened
negative,u bums u lose biggest bag flight
negative,airlines cable internet
negative,customers customer service
negative,great decision making skills flight ops iah bag makes minute connection flight pushed early disappointed
negative,meanwhile fucked flight festivities already full swing united fairway club overlooking th hole
negative,process purchasing ticket prices changed unbelievable ripoffs pricediscrimination
negative,although stranded chicago hare another hours chance cracker jack service team could provide meal
positive,flights cancelled flighted trip refunded without difficulty staff extremely helpful complaints way handle bad weather
negative,hours landing atl amp still bags means clothes makeup unitedairlines nothappy
negative,bullying workforce ok get gate agents work team never cool delays flights unitedairlines
negative,really fucked day hilo lax hr min delay software missed connection getting home hrs late flightr upgrade nothin
negative,send someone customer service counter person dia concourse b across gate b
negative,sure expected anyone
negative,true gate agents caused helpful thanks making miss connection
neutral,yes luckily
negative,st birthday sister coming celebrate flights keep cancelled flighting plz get
negative,hold flight slc den
negative,den phx flight tomorrow cancelled flighted asked overnight nite lax sna told without paying wrong
neutral,please follow dm
positive,thank help
negative,yeah happen
negative,still bags arrived amp website says still airport hours late flightr nothappy
negative,maintenance issue stuck geneva meal voucher even cover plate flight spaghetti really
negative,hate get bumped seat selected amp empty row moved another seat non empty k flt nonupgrade
negative,announcement extra baggage find empty bin aisle back baggage seat row agents argueing
negative,bags arrived sure miss customer focused days used fly hoping wakes
negative,total bs st class seats connecting flight crew late flight miss connection next plane yet u honor
negative,much info share via tweet please send name contact info happy supply images cs rep names
negative,lack customer service astounds worst airline history airlines train staff
negative,extremely disappointed flight united left crew pssgrs stranded rain gate cover left psngrs depart plane
negative,besides landing plane overall customer service experience poor late flight rude workers plus missing luggage
neutral,calling global services help desk via phone
neutral,final pls let connection leave conf npbhd
negative,fuck shitty fucking information
positive,good thank
neutral,much ski bag cost check bag contains pair skis one pair poles
positive,frustrating well way relate flightd anyway impressed made
neutral,thanks
neutral,got let log email thx hoping dtw ase without issue today
positive,oh wi fi router top fuselage
negative,sfo gt aus ua jx seat appears mite problem dr recently confirmed bug bites mites
negative,come reopen ord clear growing dc backlog
negative,customer service hr delay coupon redeemed website higher prices expedia call wait time mins
negative,strongly considering taking business elsewhere unitedairlines
negative,website allow post required document keep getting technical difficulties
neutral,lounge heathrow used
negative,really needs start upgrading planes tvs amp inflight wifi currently unavailable unitedairlines
negative,digging new mileage earning plan would earn miles changes award ticket prices
negative,outsourcing ticket gate agents mia ill advised roc service went downhill keep employees fliers first
negative,hung customer service waiting min hold guess vacation happening website working
negative,bad idea let people back terminal food vouchers allow minutes get anything long lines ua
negative,going mileage plus accounts login username email least three days
negative,incentive give another chance
neutral,dad booked orbitz due weather make airport help
negative,finally get right response united must check issue ua ewr puj friday
neutral,begin newark london heathrow route may
negative,rebooked arrived hours late flightr last year hrs san diego inflight entertainment
negative,lost bag huston leave bahamas cruise today nola buy new stuff customer service non existent
negative,site errored last step changing award even pull reservation minute wait time thanks
negative,get nd chance today fly dam let see redeem last horrendous trip states
positive,impressed far app worth damn sms updates flight
neutral,last minute flight deals cute little frequentflyer friday flight cancelled flightled
negative,worst customer service experience ever united airlines
negative,airlines st amp time ever fly airline disgrace listened tweet horrible
negative,diverged burlington vermont sucks
negative,officially inefficient boarding procedure reason take mins board plane
negative,hours sitting plane left gate yet hours actual flying left
negative,sent details customer care link sent almost month ago response
negative,terrible service military members families ridiculous unitedairlines
neutral,hi question future flight booking problems dub jac jac lax lax dub g checked bag allowance jac lax
negative,flight cancelled flighted needing help reflight booking problems
negative,surprised took mins never experienced anything like k number
neutral,n taxies departing ua newark liberty airport
negative,afraid fly service every week unhappy spend much money unhappy
positive,thank daughters th bd party w proj weather cond look promising please assist earlier flts cmh
negative,going cancelled flight flights today everyone favor get stall inevitable
negative,plane waiting gate two hours passengers onboard cramped seats yuck
negative,flight ua got delayed hours due mechanical issue could use free drink make inconvenience
negative,cell phone record needs checked see conversed trust faa handle better
negative,wireless epic fail greedy piggy worst
negative,inspected picture routine aircraft check cell phone faa amp nyt say
negative,airserv contractors worth wet damn min late flight still done w bags ua made checkin calamity
negative,never fly terrible service ruined entire vacation lostsuitcase noreimbursement
negative,web app let upgrade seats call center wait time minutes plus want get legroom pita
negative,characters cover reasons afraid
negative,busy cell phone
negative,really fill form flight experience sent email k email address
negative,left gate minutes early thoughts count sit tarmac half hour comeonpeople
positive,kudos capt herman relayed chief pilot emailing someone
negative,flight departing website says delayed due operational difficulties mean
negative,teach gate agents lie learn overhead space bag check
neutral,first officer ua checking prior departure ewr yesterday cell safety
negative,booked lh via ua however gate rebooked late flightr lh flight flight didnt earn pqd get
negative,coupled self service policies cost cutting exacerbates noted issues
negative,appreciate immediate offer suspect long term issue simple fix also ski bootbag policy awkward best
negative,isnt simple issue generally set check baggage policies logan general unhelpfulness employees early
negative,terrible illogical route cancelled flightled connection made pay check bag lost bag ual
negative,already follow one number agents rebooked went ugh
positive,good job cle tpa schedule inches snow
negative,never fails delayed flights
negative,yes people also
positive,elp friendly flyerfriendly united emb elpaso
negative,booked first class curbside delivery hours counting teamusa
neutral,lets email boarding pass
neutral,hope miss connection help flight booking problems please follow us amp dm confirmation cp done thx
negative,ridiculous ua delayed hours counting booked diff airline takes seriously unitedsucks
positive,provide voucher one customers tweet day long earnedmybusiness
negative,msp w employees trying check several hundred line crazy might miss plane sure thank employees
positive,stellar customer service earned business attention detail
positive,service staff great usual cleanliness smells bit much back satisfied traveler
neutral,arrives lax
negative,ua lax den scheduled land lax please rebook denver best flight
negative,first class passenger pay inflight wifi
positive,hey upgraded hour international flight forgive thank
negative,flight bgm cancelled flightled last night get hotel voucher pay cab back worse cab experience ever
negative,first flight iah iad delayed one hooked ground power plane get together folks
negative,ua way plane loses software believe decided upgrade
negative,already missed connection ua
negative,typically get problem fixed crew expires delay turns cancelled flight
negative,ua delayed get charged late flight say oh well
neutral,trying go far away king scollegelondon possible charity today would help us jailbreak rag
negative,friend stuck bus runway pek two small kids customer service explanation kids crying awful service
positive,yes food add gluten free options
negative,u guys suck never fly u ur supervisors suck
negative,flight new york love quality planes united wtf crappy aviation newyork
neutral,page united values tweet b c rare receive tweets complimenting service fake
negative,yes keep getting robotic answer
positive,thank great flight gfc cheers
negative,bad customer service nyc weeks ago thinking moving
negative,united ceo decided outsource push skilled loyal employees lack staff
negative,mean employees really nice literally sobbed
negative,means say many complaints today week month respond b c alone
negative,flying home event tomorrow pushed back flight ticket get home time
positive,held plane made
negative,delayed departure hrs wait passengers another flight late flight unacceptable
positive,ok sent u info via dm appreciate help consideration
negative,flight chicago houston hours pretzels peanuts seriously passed
positive,nice early back home
positive,hope
negative,tag bags airport hoping would actually arrive hoping arrive
positive,make sure done thanks help huge race trying make sure goes smoothly peace
negative,planned book additional flights tonight hrs working one trip worn enoughisenough
negative,much help disappointed customer service
neutral,love see girls inspired becoming pilots rt free woaw event march abq
negative,system hold mins mia tells going charge flight booking problems fee customer service
neutral,took screenshot emailed let dm figure
negative,wedding irreplaceable milestone reflight booking problems repaid
negative,brothers luggage lost copa airlines flight competing sunday panamerican cross country cup please help
positive,fill yes thanks bringyourown
negative,last flight day less driving hours aspen thru snowstorm thx teams lack customer empathy
negative,brothers baggage lost route panamerican cross country cup championship columbia race sunday please help
negative,yes plenty seats available vicky thomas refuse give one million mile flyer
negative,funny flights yesterday delayed mechanical issues rotten luck get planes row issues
negative,would nice earlier today late flight hope
negative,waiting mins counting get global services something going
negative,still trying get home
negative,also gate monitor showed empty seats
negative,reservations desk told said plenty seats
negative,exasperating difficult time flight booking problems error message says undergoing maintenance really
positive,flight attendant extremely helpful woman hard time walking touching
neutral,please call
negative,lax make happen please else cruise luggage tomorrow
negative,make connection stellar employee vicky thomas refused board even though empty seats plane
negative,course start trip wks ago gone downhill return
negative,u
negative,much longer take guitar royal commission
neutral,voucher expires next week get extension expires
negative,sure different texts changing time amp gate especially locations across entire concourse seemed little
neutral,know would awesome providing us complimentary entertainment flights especially longer hours
positive,dm sent thanks
negative,late flight future flights train staff better handle emergency situations ground staff customer service
neutral,san diego chicago leaving tomorrow
negative,stuck airport hours standbys cuz pilot showed late flight pjs amp missed connectin flight pj tell u nyfw
positive,brian sfo customer service deserves raise gave extra meal voucher good joke cheer flight delay ftw
positive,thank nice evening
negative,wait lose flight frustrating
negative,certainly
neutral,available online figure guarantee flight
negative,trying book flight w miles hold gave need get flight using two diff pay tix
positive,thanks took care called
negative,tweet u choose answer tell liable youretheworst neveragain
negative,reason houston nyc tonight took plane hour take explanations sorry
positive,awesome thank much help
neutral,need follow dm give info
negative,agents arguing check bag announcement looked room seat gave walked back seat unnecessary
neutral,yea saw moving china bags pay whatever wanted make sure ok bring many
negative,change name united incompetence flight monday take hour drive get flight
negative,even mentioning rude customer service us business owner mortified employees acted
positive,kept watching safety video first time forever nice job
negative,time respond everyone else complaints mine lost customer
positive,thanks lea chicago office help switching cancelled flighted flights
negative,likely makes sound like idea want flights please use facts thanks
negative,tell something know keepingit weaktea
negative,wait time baggage question minutes crazy limit amount bags bring internationally
negative,like hear anything help thanks ey another empty offer help
negative,try upgrade seats first class wait time phone minutes help
negative,ua coshared flight w ana unable check hrs prior
negative,never flying guys ever customer service piss poor best
negative,hour flight turns ordeal sigh
negative,luggages group luggages lost
negative,assistance attitude staff matter airport
neutral,sure follow sec
positive,thank much help birthday trip tickets confirmed
neutral,airlines flight ua need make ua u hold plane us
positive,thank
negative,hear guitar damaged december use guitar earn living get act together
negative,hold minutes talking one employees asked name id hung face
negative,hope received help far hold hour someone speak
negative,tried flight options per weblink non available next days frustrating notgoodenough poorservice
negative,asked dm ignore please assist changing another flight today feb fra mco avoiding iad
negative,stay business poor service poorservice notgoodenough
neutral,airline refuse canadian passport less months remaining validity going us
neutral,time arrive airport domestic flight san diego
neutral,taxing ord avgeek
negative,sent dm existing reservation one responded
neutral,going service desk see options
negative,miss continental days
negative,next time bag underweight guys credit take business airline cares
negative,full plenty time go gate check plus status gotten
negative,staff refuse let earlier flight citing checked bag
negative,thanks nothing next time bring whole extra suitcase extra pound makes sense right
negative,first lost bags cancelled flight flight home min wait talk somebody poorservice notgoodenough
positive,great landing denver next rapid city snow starting fall florida everglades faint sunburn away comes cold
positive,looking forward flying guys well
negative,flight arrive early delayed due gate available min late flight tarmac
negative,flight landed min told stay plane pulled gate amp little information
neutral,love hate relationship days good others terribly awful saddening
negative,better customer service john wayne airport
positive,bag finally delivered intact thanks assistance
negative,passengers seated crew ready wheresthepilot flt ord hope bar
negative,booked tix month ago cheaper customer service useless
negative,ua still taking pm stuck tarmac ua waiting get
negative,right good caught mechanical failure bad blankets ok
negative,sitting ua getting delayed operations find captain ridiculous united
negative,truly worst day flying ever experienced
positive,guys made day treated well thank
negative,stuck houston seem get plane destination time perfect flying conditions
negative,phone customer service team bad think time consider switching airlines
negative,much longer united phone hour straighten star alliance upgrade
neutral,verify wheelchair assistance requested next flight
neutral,left dildo plane way get back
positive,know last name karen call center terrific friendly helpful terrific representative kudos
negative,cancelled flighting mileageplus card never business clearly care customers
positive,thank good service safe flight way home
negative,even ask dm offer help anything terriblecustomerservice unitedairlines
negative,yes appreciated misinformation damages credibility may want someone observe newark fwiw
negative,guys suck
negative,never fails flying fc order ravioli get chicken tell fa says told people wanted chicken idiot
negative,second time flying houston mins waiting luggage baggage typical still waiting
positive,flights went great improved view airline cheers flight attendents ua deserve raise
negative,horrible service attitude asked information make want fly united ever platinummember
negative,rep hung mins hold asked supervisor furious right
neutral,question interview process one interview last person good bad
negative,thank hrs terminal dulles airport
negative,go bankrupt transfer assets luv would great
neutral,landing chicago saw already airborne
negative,marcus helped good agent fix flight listed website unavailable book false advertising much
positive,may hit new status year flown several times year tried book every time
negative,unsmiling rep told us hotel shuttle comes like every minutes breezy min late flightr taking cab going reimburse
negative,someone misses connecting flight airline last flight day fix
negative,yes needed plenty assistance received none
negative,tonight got hotel hrs traveling still reaching destination disappointed thanks
negative,thank reply emailed customer care department experience
negative,file claim agents let speak supervisor claim number expired find bag
neutral,done something make tweet
negative,one interview last person mean
negative,flown times last days flights delayed huge mistake part fly united
positive,received notification flight wi fi ua amazing
negative,yes taking two days get bag delivered missed full day skiing
positive,give recognition deserves
positive,type person make customers day fly times year amp one top flight attendants
negative,made remove pound checked bag otherwise would charge loyal flier years time change
negative,sitting plane unreal day nightmare end
positive,suck best
negative,let us gate ua
negative,amp top free tv int l leg sitting tarmac houston min past departure w another hr plus go
negative,dtv doesnt work pilots late flight wont let yr old fly next paid upgrade unitedsucks
negative,loyalty team basically flipped via phone thanks maybe google loyalty get back lol
negative,hey job give safety spin plane broke original flight unitedsucks
positive,thank
negative,mean beyond opaque maintenance issues yes would basic customer service ewr staff manage
negative,dear ted care mileage plus card pay lot bye bye united
neutral,terminal gate b flt take terminal gate swiss air lx
negative,sad think important resolve client facing team behaves disgraceful
negative,help girlfriend amy lloyd going miss flt zurich bc fault needs golf cart meet ord
negative,epicfail former gate agent pia walked away quit luckily responsible pia agent saved day
negative,problem told aircraft way
negative,thx sitting plane hrs refuel even make stuff
negative,know use twitter bro terminal looks like bosnia another pic
negative,far worst airline plane delays round trip flight possible
negative,took care rent car drive hours retrieve belongings due united errors
negative,probably miss next connection
neutral,chance ever cpus jfk lax like
negative,may think joking blowing proportion last united flights delayed significantly late flight
negative,case delayed due mechanical issues update departure time cancelled flight goddamn flight go delta
negative,days planes mechanical issues hrs late flight sitting plane insane
negative,get message resend numbers
neutral,yes filled form last year case number handy guess cut historical society afterall
negative,idiot designed seats armrest tv remote amp resting elbows mix seatmate keeps changing channels amp blasting volume
negative,bump group forced check bag wait minutes lga
negative,listen learn amp remove pqd requirement insulting ha
positive,thank reply fill form submit requested good know paying attention
positive,gate agent alavera amazing
negative,need better airline lol
negative,agents forced check carry bag received bag found crew stolen u lost business
positive,wins top marks customer service via twitter turned poor experience positive many thanks effort
negative,really charge check bag put different flight still bag
negative,released travel advisory iad tomorrow
negative,cross country flight sfo gt bos wifi even soda quality inflight entertainment sad
negative,really getting horrible much tucking kids tonight delta transfers miles status right
neutral,interview long take hear back
negative,think problem resolution decided end especially like continue flying airline
negative,roundtrip london think fyi another k lost moneynotspentonunited unfriendlyskies
negative,already flight booking problems next week trip thanks making choice easy disunited unfriendlyskies servicefail
positive,flight experiences r often frustrating day ua chi wpg flight attendant april amazing best
negative,also group total bs
negative,ask patient without offering something return
negative,like clockwork friday afternoon flights las den running late flight seem happen consistently keepit
negative,getting business unfriendlyskies unbelievable
positive,free booze bach party would make better ord gt msy delayed enjoy either way thanks
neutral,name boarding pass think might really need ideas
neutral,sitting seat flight back vegas chicago someone left folder looks important seat pocket
negative,incompetent rude service today missed connecting flight customer service desk terrible really upset w untd
negative,terrible experience ua th st exit row economy zero legroom row booked return change
negative,hours late flightr transit total twelve hours please change plane flight ridiculous sfo
positive,good man fault plane maintenance issues
negative,delay flight ua painful sure hope cause luggage miss ua flight new delhi
negative,yes unbelievable free fare lock
positive,puppy cute look forward board thanks high five ey
negative,worst airline beware maintain plain runway past hours
negative,free like airlines anymore
negative,existing reservation fine talking longer cmh ord option gets late flight
neutral,please tell going make connecting flight hare stl southbendinwhere
neutral,lindsay darn terrible memory part know headed back iad pit tonight
negative,know sure hear time like new seats small guy feel new planes tight
negative,hrs ord another tarmac refuse move earlier flight make iflyalot bs
neutral,ok thanks clarification
positive,coming back huge east bay customer base due sfo miss
negative,also help frequent flier united premiere gold apparently means nothing
negative,delayed another hour
neutral,million mile flier embarrassed ask long ago launched
negative,beat storm town wait issue policy late flight nws issued storm warning already
negative,miss one probably aspen events fail
negative,need apologies need bag took minutes landing get unacceptable
negative,add wifi entertainment old seats come back
negative,fly sfo honululu gets pushed back hours looks like delays beg plz sort soon
positive,thanks catch conection
negative,super lame charge tv international flight us
negative,volunteers give seats people sit minutes plane waiting add people letsgo
negative,going transfer car airport get
negative,next time volunteer let gate check bag space since obviously deliver timely manner
negative,sorry cold chicago see means takes minutes priority bag show carousel
neutral,long take customer feedback respond complaint
negative,making miss big snow montana cool
negative,might airline offering waivers keep good fight
neutral,frontier
positive,thank help appreciated
neutral,fyi went similar flight last week
negative,know check complaint ticket said dinner booked changed refreshments refund
negative,bag mia since wednesday still word ever see lostluggage frustrated
neutral,assume benefits apply reservation way partner diff res use combine res
neutral,us air
negative,american airlines suppose
negative,love report horrible flight team let make worse get seat snacks
neutral,uhuh group trying get nashville iad today instead tomorrow preemptive though
positive,thanks moving dad mom flight helped make birthday start friendlyfriday awesomeness paws
negative,need get together flights cancelled flightled stranded car baggage lost never get right
neutral,blood services make appt today
negative,worth saying litter singapore get caned rules says
neutral,waiving change fees snow storm coming tomorrow iad winter storm warning tomorrow already
neutral,yes sending email customer service today
negative,fully aware rules harsh toward client especially since going resell seat
negative,check carry watched handler throw bag miss conveyer belt sat min
negative,waste time airline get automated message disappointing always
negative,means within one week filed compensation complaints website
negative,sure however ticket included one checked bag therefore charge extra completely unanticipated
positive,follow maintenance team thanks tweet kp thank united cares
negative,terribly disappointed confirmed reservation delayed cust service staff helpful finding alternate solution
neutral,check luggage employee told include wheels dimensions
neutral,dmangen com
neutral,ticket refunded purchased brother fly could used refunded credit fly respond
negative,besides fact one week ago delayed hours impressed
negative,one checked bag checked edinburgh however charged randomly dc newark
negative,purchase ticket entitled check bag however charged extra dollars domestic transport
negative,thank u hr delay boarding us onto plane reeks vomit flight attendant indicated cleaned properly
negative,never grossed life disappointment yet flying
neutral,need add service dog itinerary tomorrow
negative,thanks delaying flight hour boarding us onto flight reeks vomit cleaned properly
negative,landed might want check flight plane houston sound takeoff amp landing
negative,even look right call mad
neutral,dm ed u request num
negative,requested online refund option denied saying ticket used hope understand problem approach
negative,nope still sitting gate
neutral,bagage take cabin dont need check correct
neutral,exactly
negative,passengers waited inside flight runway returned back gate count valid journey
negative,yes partly used del ewr used return flight cancelled flightled due technical glitch operations
positive,thank appreciate response
neutral,old school ride home lax houston flyingretro
negative,appreciate looking compensate anything troubles still taken flight
neutral,mine gjqx j husband cw dm reason
positive,thank thank thank contacting thank offer travel certificate unitedairlines
negative,another terrible experience united discrimination delays help customer service united notimpressed
neutral,hi flying iad tomorrow evening expect delays cancelled flightlations snow storm
negative,business decision made inconveniences possibly causes lost customers good business decision cranky
positive,sent dm thanks incredibly happy fast response got via twitter via customer care thank
negative,please provide update ua flight stranded united information crew plane
negative,thanks reminding much easier fly southwest get agents sfo
positive,perfect works thank
negative,still one day visa expiring june booked flight day
neutral,followback dm plz
negative,mia ewr excellent crew ewr iad crew load bags waiting w door open freezing mins past departure
negative,customer service crap
negative,thanks ground crews surprised flights arrive beingsuckontarmacsucks
positive,mechanical issue looks like got fixed thanks concern
negative,ua sitting tarmac ord visibly gates open reassign gate
positive,thanks
negative,usually issue express sfo positive note mainline p enjoyable
negative,sato rebooked upset travel office fix
negative,kind unnerving watch guy deicing plane text phone whole time
negative,refreshes browser right checkout error load message ticket price increased matter sec dounotwantmybusiness
negative,united voted every year one worst airlines enjoy title give jedediah free passes
negative,think board back plane whatstheholdup chitocle
positive,plane thanks maybe let many people check teeming morons
negative,thanks seat made year old broken tv flights year last airline
neutral,ua needs de icing stat waited turn
neutral,yes boarded way many times amp never show pass tarmac multiple times path railed way
negative,fair enough united everybody best although slight delay turning cancelled flightlation
negative,still waiting bag never got delivered yesterday reach real person help sending dm ref number
negative,worst flight experience ever never ever fly airline
negative,go thru details flight want w recording repeat real person gets line
positive,looks like came thanks help
neutral,anything yet jj
negative,would person take hours hours wait time tell lie
negative,hey dm working ua
negative,refund team far customer care courtesy need training work ethics like sir u r lying help
negative,splitting flights quadruples price
negative,contd told asking refund used ticket flight got cancelled flightled ticket used
negative,several trials several hours waiting phone contact customer care get refund get cold shoulder
negative,booked paid flight get denver specific time meeting failed caused weather
positive,since get good transcontinental flights h pleasure relief
negative,understand flight paid premium getting cancelled flighted best next available flight
negative,flight awful one lavatory functioning people lining bumping etc use st class bathroom ridiculous
neutral,current board food menus available anywhere online
neutral,airlines changing mileageplus program winners losers
negative,actually still parked
neutral,put sun carry rt right would heat wave enjoy warmth bring home jj
positive,thanks
positive,thanks prompt response another hour enjoy vacation perhaps bug app still shows
negative,apply one travel certificate per itinerary even multiple flights
positive,appreciate sentiment able get ground still missed connection
negative,log view reservations try view specific reservation amp takes back login page
neutral,goes round amp round going weeks
positive,thank prompt assistance
negative,times flight delayed miss next flight time lost baggage clean clothes flight thx
neutral,looked email chain one
negative,hell miles expire really looking forward accruing enough free flight years
positive,thanks timely updates
neutral,also want naming rights first child fly home visit mother avoid winter depression
negative,familiar procedure first time unitedairlines lost one bags unhappytraveler
negative,get giving inaccurate misleading info seem like great way hopethegearmakesitintact
negative,cleaning regional jet takes hour
positive,baggage check flight crew friendliest ever flight ogg lax
neutral,thanks means minutes make international connection hkg
neutral,kp traveling trying cheer ms bila
negative,tried charge flight tried make change phone including change fee wtf
positive,thank offer sorted
neutral,workin waiting reply
negative,flight rolling delay hour minutes
negative,believe customer service last post narita tokyo sent motel rest said standby maybe days
positive,think best first class ever gotten denver lax wonderful
positive,course inflight crew great
positive,well played lo
positive,pilot ua landed plane like gently placing us pile whipped cream smoothest landing ever
negative,website complete joke using safari
negative,new seats canadaair regional jets plain suck
neutral,another country please cancelled flight reservation booked swiss air
negative,airlines abuse expensive video equipment overcharge privilege via
neutral,found flight
negative,reply lol hoping least new plane maintained flight
negative,somebody say flight upgrade
neutral,dm sent
negative,tripitpro accurate delayed dept times hours late flightr hear curious
negative,tell airline lost mine families business day age message twitter travels fast
negative,trying reach number last standbye gave meal voucher potential day standbye
negative,disappointing customer service
negative,boarded time deplaned minutes delay transparency wait give gold status aa
negative,wife sarah stocker also called could connect customer service
negative,victim scam shit customer service time agent hung wtf teach staff
negative,flight frustration boiled dealing attendant attitude ridiculous
negative,nice know hours time worth free directtv everyone ever hear preventative maintenance
negative,may true however weeks matter still unresolved get supervisor manager help
negative,obviously one knows darn thing around get resolved
neutral,going forward flight booking problems star alliance flights united app
negative,notifications yet staff board say accurate departure time
negative,know seats actually narrower seats feel like maybe extra bloated
negative,dm sent lack customer service getting ridiculous
negative,delayed going home getting really tired delays
positive,big thanks mn kn patiently clarifying united domestic world
negative,uh booked ua website price change
negative,rebooked getting home hours late flightr planned chances ever see bag unhappytraveler
negative,united club team amp got seat late flightr still sure last min ual cancelled flightlation costs yet overbooked folks get
negative,flight yyc providing free food allowed back board broken lightbulb
negative,looking fare returned companion flight understand additional fee necessary
positive,thank much helps ton whoever twitter acct today deserves handshake hot chocolate flight problemsolvers
neutral,left headphones ua yhz ewr long shot see worth tweet anyway
neutral,thousand fans asking give utmost effort get safe flight baggage soon
positive,wait
negative,flight specific last two probably feet apart within sight
positive,love told would issue refund get us way hurricane denied
negative,without baggage days get update houston airport since monday worst service ever
negative,yes three different checkers along walk plane overkill
negative,bummer might go card instead ty response though
neutral,please dm details like help need assistance kp another airlines issues
negative,sure business go else airline travel name kathryn sotelo
neutral,please arrange someone arriving gate flight chicago either refund first class upgrade
negative,made check carry flight pbi newark plane luggage stow full u r costing time money amp aggravation
negative,way contact flight work father pass heading denver
negative,two flights today let hope kit get treatment
positive,thnx
negative,please help regarding pnr zz f waitlisted flight
neutral,emailed jim compton jeff smisek hopefully pay attention
negative,hope solution insurance cover issue
negative,customer service solution might miss show
negative,deserves go bankrupt delayed outbound flight info connecting flight going miss
negative,flt delayed maintenance fixed board flight crew stay boarding area fail
negative,anymore finally ticketed min takeoff sure confusion full fare gsa ticket
neutral,miles earned explorer card count toward lifetime miles
negative,yes still know told might flight one confirm
neutral,something missing checked baggage
negative,wind chill ithica degrees trouble losing clothes give shirt burn warmth united
positive,aw thanks kind words totally makes extra hours sitting airport soooo much better
neutral,frontier currently offering weather exceptions weekend united
negative,calling customer service delayed flights today luggage misplaced disaster across board
negative,crew notified passenger moved water fixed tarmac two hours
negative,link helpful put touch management
positive,u might imagine former pilot particularly touched gesture please let fo know keepingtraditionsalive
negative,delayed cmh ord ran gate min b connection door closed one around ignored st agent nd super rude thanksunited
negative,guess kit kat looks tasty going near sandwich
negative,worse headed laguardia delayed tray table size mouse pad overhead size pocket
negative,iah ewr broken entertainment system wifi despite info app
negative,customer service terrible
neutral,done
negative,please send help asap flight chicago seat c airlines
negative,define appreciate doubt worst major airline usa acts much feedback
negative,yea refund airline ruined trip
positive,sent thank
negative,wonderful unfortunately help hr flight major u cities disappointed
negative,thanks delaying flight hour missing connecting flight terrible customer service neveragain vacation
negative,got rebooked aa one question though automatically refund check baggage fees flight cancelled flightled
negative,good k team nothing short amazing everything
negative,new flight window kind ticked pick aisle seats hate window seats annoyed epicfail
positive,good fly united businessfirst
negative,nope rebook houston could get amarillo pm stuck sfo four hours
positive,thanks made
neutral,past
positive,thanks dmed hn
negative,money sucking airline terrible terrible customer service
